source_id,source_name,source_url
OPSRCID:244272509,Open Elections,http://openelections.org
OPSRCID:711178002,Census.gov,http://census.gov
OPSRCID:961425548,OpenPrecincts.org (aggregated VA data),https://openprecincts.org/va/
