precinct_id,candidate_id,vote_count,source_id
OPPID:826760591,OPCID:874747711,680,OPSRCID:244272509
OPPID:826760591,OPCID:345631564,12,OPSRCID:244272509
OPPID:826760591,OPCID:960954509,68,OPSRCID:244272509
OPPID:826760591,OPCID:734746160,516,OPSRCID:244272509
OPPID:826760591,OPCID:209765575,54,OPSRCID:244272509
OPPID:826760591,OPCID:440837476,11,OPSRCID:244272509
OPPID:826760591,OPCID:132845751,519,OPSRCID:244272509
OPPID:826760591,OPCID:123968184,63,OPSRCID:244272509
OPPID:826760591,OPCID:127322286,510,OPSRCID:244272509
OPPID:826760591,OPCID:797444855,70,OPSRCID:244272509
OPPID:826760591,OPCID:109883727,772,OPSRCID:244272509
OPPID:826760591,OPCID:681337223,135,OPSRCID:244272509
OPPID:826760591,OPCID:837106430,49,OPSRCID:244272509
OPPID:826760591,OPCID:332571831,533,OPSRCID:244272509
OPPID:826760591,OPCID:553244221,0,OPSRCID:244272509
OPPID:826760591,OPCID:879378296,0,OPSRCID:244272509
OPPID:826760591,OPCID:131182305,780,OPSRCID:244272509
OPPID:826760591,OPCID:666537775,149,OPSRCID:244272509
OPPID:826760591,OPCID:338039615,0,OPSRCID:244272509
OPPID:826760591,OPCID:920017699,666,OPSRCID:244272509
OPPID:826760591,OPCID:570178216,87,OPSRCID:244272509
OPPID:826760591,OPCID:632374341,0,OPSRCID:244272509
OPPID:411150634,OPCID:874747711,1165,OPSRCID:244272509
OPPID:411150634,OPCID:345631564,43,OPSRCID:244272509
OPPID:411150634,OPCID:960954509,547,OPSRCID:244272509
OPPID:411150634,OPCID:734746160,950,OPSRCID:244272509
OPPID:411150634,OPCID:209765575,470,OPSRCID:244272509
OPPID:411150634,OPCID:440837476,15,OPSRCID:244272509
OPPID:411150634,OPCID:132845751,841,OPSRCID:244272509
OPPID:411150634,OPCID:123968184,576,OPSRCID:244272509
OPPID:411150634,OPCID:127322286,858,OPSRCID:244272509
OPPID:411150634,OPCID:797444855,556,OPSRCID:244272509
OPPID:411150634,OPCID:109883727,1309,OPSRCID:244272509
OPPID:411150634,OPCID:681337223,707,OPSRCID:244272509
OPPID:411150634,OPCID:837106430,124,OPSRCID:244272509
OPPID:411150634,OPCID:332571831,1053,OPSRCID:244272509
OPPID:411150634,OPCID:553244221,0,OPSRCID:244272509
OPPID:411150634,OPCID:879378296,0,OPSRCID:244272509
OPPID:411150634,OPCID:131182305,1047,OPSRCID:244272509
OPPID:411150634,OPCID:666537775,1000,OPSRCID:244272509
OPPID:411150634,OPCID:338039615,0,OPSRCID:244272509
OPPID:411150634,OPCID:920017699,1138,OPSRCID:244272509
